Indicator,Most_Likely_Class,Max_Probability,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Prob_Class_5,Prob_Class_6,Prob_Class_7,Prob_Class_8,Prob_Class_9,Prob_Class_10,Prob_Class_11,Prob_Class_12,Prob_Class_13,Prob_Class_14,Prob_Class_15
0,8,0.18072014,0.04562767,0.03739897,0.0672713,0.034193672,0.08016325,0.052191377,0.07205259,0.085792005,0.18072014,0.09646483,0.024957053,-0.003004449,0.04038525,0.06268593,0.06919305,0.053907428
1,8,0.1419675,0.042546533,0.04103289,0.06435065,0.04632916,0.081779085,0.04279704,0.04872985,0.07841717,0.1419675,0.079063,0.027009485,0.0042851274,0.066213116,0.07797489,0.07709237,0.08041214
2,8,0.13407072,0.051936567,0.037380863,0.07708738,0.047873095,0.083684325,0.04478812,0.06725038,0.07202325,0.13407072,0.075185314,0.02899771,0.019395208,0.048153576,0.05118925,0.06213937,0.09884489
3,8,0.23709272,0.09111429,0.015840976,0.06517364,0.038012505,0.0911954,0.041398417,0.05474159,0.06180259,0.23709272,0.12310835,0.024159355,-0.005855615,0.008517674,0.02056773,0.03480806,0.09832237
4,8,0.16514976,0.08394502,0.02617117,0.069380574,0.043504994,0.064628184,0.065632656,0.082008235,0.07932842,0.16514976,0.10819844,0.027823702,0.011558527,0.032828998,0.039494812,0.04685179,0.053494714
5,8,0.13027564,0.05334666,0.042603,0.086477846,0.058741394,0.08113937,0.061828043,0.07388499,0.07848551,0.13027564,0.09843782,0.029480167,0.020473028,0.039142795,0.051984847,0.06419231,0.029506588
6,8,0.3224049,0.047244787,-0.019423207,0.054015268,0.036312904,0.093389966,0.037989132,0.06431724,0.07886278,0.3224049,0.16509023,-0.0134608885,-0.052770816,0.0063549033,0.02188965,0.042559043,0.11522406
7,8,0.12795983,0.057970367,0.037142303,0.06899382,0.063569725,0.072830595,0.060583185,0.065781325,0.070398785,0.12795983,0.08297244,0.032550566,0.02348157,0.034287125,0.074524015,0.078630894,0.04832345
8,8,0.15806828,0.04172958,0.031073468,0.08028226,0.04966301,0.087465875,0.052875377,0.07172482,0.08138381,0.15806828,0.09887764,0.03327805,0.008676778,0.033327166,0.046823025,0.05849625,0.06625462
9,8,0.19867556,0.040584255,-0.000107013395,0.07813142,0.01390152,0.1024318,0.059482083,0.068750545,0.09447782,0.19867556,0.105128735,0.019239914,-0.030636484,0.035126016,0.05296245,0.045231067,0.11662034
10,2,0.10718645,0.030811468,0.023030482,0.10718645,0.072428815,0.057011586,0.05709491,0.048801754,0.07548341,0.10560859,0.08543408,0.021033628,-0.0035549412,0.074641906,0.084387064,0.075646445,0.08495435
11,8,0.14473516,0.0433398,0.039869208,0.076840684,0.045536604,0.085641995,0.051068194,0.06450911,0.07375482,0.14473516,0.07564905,0.037518024,0.02556801,0.035790402,0.06192968,0.07161561,0.066633746
12,8,0.2153174,0.054724067,0.032752994,0.04745948,0.021812571,0.08807809,0.06588628,0.058924492,0.06920901,0.2153174,0.12807718,0.04494674,0.016775265,0.011552829,0.043812744,0.040548157,0.060122684
13,8,0.10214943,0.031788897,0.03139414,0.06253628,0.032692056,0.09785992,0.060735732,0.06819924,0.08556969,0.10214943,0.06846906,0.028137732,0.009547786,0.055239197,0.09501519,0.088224575,0.082441054
14,8,0.14095888,0.061640903,0.08149298,0.054192547,0.030416604,0.050722126,0.06018859,0.07592344,0.08947104,0.14095888,0.099200554,0.060879786,0.030116107,0.042512022,0.030793814,0.036636364,0.054854225
15,8,0.14481807,0.042449936,0.035107996,0.06516308,0.038436275,0.0888559,0.051595706,0.06842207,0.0800715,0.14481807,0.07937883,0.03835871,0.01962592,0.037550002,0.06482442,0.06833249,0.077009045
16,8,0.1410704,0.05013528,0.033732496,0.07361708,0.053359635,0.07131203,0.051853254,0.06306998,0.08586136,0.1410704,0.06605246,0.022550505,0.009149316,0.04845833,0.060289003,0.0727334,0.09675543
17,8,0.1660723,0.054500632,0.044006772,0.058057424,0.03670639,0.07344275,0.060598653,0.0817973,0.08469011,0.1660723,0.11286524,0.04614894,0.037310798,0.031182976,0.021212325,0.04396991,0.04743749
18,7,0.10732369,0.030499004,0.014813701,0.09251308,0.07626013,0.06405252,0.07670055,0.089665644,0.10732369,0.078275286,0.07562827,0.004405744,0.000110654684,0.060268633,0.08532876,0.09294887,0.051205516
19,8,0.1287727,0.00040154468,-0.0072119026,0.10384013,0.07307668,0.11434142,0.061827037,0.09264156,0.106823176,0.1287727,0.123280816,-0.022926003,-0.030982446,0.047056343,0.05306529,0.06677611,0.08921753
20,8,0.15609744,0.036649305,0.021119105,0.102655835,0.031133544,0.111487634,0.049334656,0.07215453,0.080041446,0.15609744,0.08294726,0.025487363,0.006398111,0.04531969,0.035713475,0.042995647,0.10046502
21,8,0.20047244,0.04011561,0.037328277,0.06112205,0.0033009215,0.116287105,0.0566518,0.07094258,0.0870157,0.20047244,0.08376569,0.048138782,0.009515667,0.01913158,0.023672553,0.03051608,0.11202315
