Indicator,Economic,Environmental,Social
Flow of Waste and Waste Generation Rates,0,1,0
Generation of Priority Waste Streams,0,1,0
Minimization of Waste Production through Sustainable Materials,1,1,0
Material Solid Waste Landfilled,0,1,0
Household Waste Ending in Landfills,0,1,0
Landfill Diversion Rates,0,1,0
Material Solid Waste Incinerated,0,1,0
Landfilled Waste Reduction Initiatives,0,1,0
Waste Management Cost,1,1,0
Recycled Water Volumes,1,1,0
Optimal Reuse of Water,1,1,0
Waste Reduction and Recycling Rates,1,1,0
Waste Disposal into Fresh and Saltwater Bodies,0,1,0
Recovery and Reuse of Water Resources,1,1,0
"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",0,1,0
Reuse of Waste and Reduction of Resource Depletion,1,1,0
Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,1,1,0
Percentage of Food Waste Treated,0,1,0
Flood Remediation Costs,0,1,0
Chemical Remediation Costs,0,1,0
Overall Recycling Rate,1,1,0
Rate of Waste Materials Reused,1,1,0
Local Wind Resource Potential,1,1,0
Local Solar Resource Potential,1,1,0
Local Green Resource Roofs,1,1,1
Import/Export Balances resources,1,1,0
Waste Reduction and Circular Processes,1,1,0
Managing and Reducing Noise Pollution,0,1,0
Pollution Reduction,0,1,0
Mitigation of Environmental Impacts,1,1,1
Reduction of Waste Production through Sustainable Materials,1,1,0
Amount of Waste Produced in the City,0,1,0
Recycling Materials and Rates,1,1,0
Zero Material Waste Targets,1,1,0
Amount or Percentage of Recycled Material,1,1,0
Products Reused and Recovered,1,1,0
Recycling of Non-Ferrous Metals,1,1,0
Recycling Initiatives,1,1,1
Lifecycle Management of Buildings and Materials,1,1,1
Sustainable and Efficient Production and Consumption Patterns,1,1,0
Use of Non-Virgin and Low-Carbon Footprint Materials,1,1,0
Economic Value of Resource Use,1,1,0
Reuse of Building Materials in New Constructions,1,1,0
"Efficient Use of Resources, Materials, and Construction Techniques",1,1,0
Techniques to Maximize the Effective Lifecycle of Buildings,1,1,0
Measures to Improve Sustainability,1,1,0
Green and Blue Infrastructure,1,1,0
Use of New or Traditional Materials,1,1,0
Eco-Design Practices,1,1,0
Sharing and Collaborative Consumption Strategies,1,1,1
Resource Consumption,1,1,0
"Flow of Materials, Energy, and Resources",1,1,0
Amount of Raw Materials Used,1,1,0
Virgin Material Use,1,1,0
Fossil Fuel Consumption,1,1,0
Average Amount of Raw Material Retained in the Cycle per Citizen per Year,1,1,0
Reduction of Toxic Emissions,1,1,0
Energy Generated During Waste Treatment and Reused,1,1,0
"Resource Efficiency (Labor, Material Inputs, or Energy)",1,1,0
Reducing Non-Renewable Resources,1,1,0
Reuse of Waste and Reduction of Resource Depletion,1,1,0
Renewable-Energy Systems and Efficient Use of Energy,1,1,0
Control of Organic Matter from Waste,1,1,0
Material Consumption Reduction,1,1,0
Use of Local Materials and Secondary Raw Materials,1,1,0
Resource-Efficient and Circular Material Life Cycles,1,1,0
Increasing Durability of Products,1,1,0
Redesign for Reuse and Recycling of Products,1,1,0
Prolonging the Lifespan of Products,1,1,0
Lifetime Extension Practices,1,1,1
Focus on Locally Produced Food,1,1,0
Refurbishment and Recycling of Products,1,1,0
Remanufacturing Processes Involving Water Use,1,1,0
Community-Based Recycling Initiatives,1,1,1
local Recycling Rate,1,1,0
Thermal Hydrolysis,1,1,0
Increase Longevity of Products,1,1,0
Make Good Use of Material,1,1,0
Lifetime Extension,1,1,0
Greenhouse Gas and CO2 Emission Reduction,1,1,0
Air Quality Improvements,1,1,0
Pollution Reduction,1,1,0
Greenhouse Gas Emissions Along a Building's Lifecycle,1,1,0
Production of Thermal Energy from Waste Heat,1,1,0
Pollution of Resource and Material Reduction,1,1,0
Remanufacturing Practices,1,1,0
Extended Producer Responsibility (EPR) Initiatives,1,1,0
Material and Energy Conservation,1,1,0
Resource-Efficient and Circular Material Life Cycles,1,1,0
Remanufacturing Processes,1,1,0
Extended Producer Responsibility Initiatives,1,1,0
Renewable Energy Penetration,1,1,0
Access to Electricity,1,1,0
Circular Economy (CE) Innovation Budget,1,1,0
Renewable Energy Systems Penetration,1,1,0
Efficient Use of Energy,1,1,0
Grid Integration,1,1,0
Energy Consumption,1,1,0
Carbon Footprint and Greenhouse Gas Emissions,1,1,0
Carbon Storage and Sequestration in Vegetation and Soil,1,1,0
Flow of Emissions,1,1,0
Material Flow Analysis (MFA),1,1,0
Renewable Energy Usage,1,1,0
Resource Efficiency and Productivity,1,1,0
Total Raw Material Productivity,1,1,0
Water Reduction in Production Processes,1,1,0
Reduction in Potable Water Consumption,1,1,0
Efficient Use of Water Resources,1,1,0
Safe Water Accessibility,0,1,1
Water Quality and Availability,1,1,0
Grey-Water Reuse and Black-Water Recycling,1,1,0
Amount of Water Used in Houses,1,1,0
Amount of Water Used in Other Sectors,1,1,0
Integration of Water Resource Management with Human and Material Potential,1,1,1
Strategies to Enhance Material and Human Engagement in Water Conservation,1,1,1
Protecting the Natural Environment and Regenerating Natural Systems,0,1,0
Air Quality Assessment,1,1,0
Virgin Resources Used,1,1,0
Biogas Utilization and Impact,1,1,0
Ecological Restoration and Biodiversity Enhancement,0,1,0
