Indicator,Economic,Environmental,Social,Cluster
Flow of Waste and Waste Generation Rates,0.0,1.0,0.0,4
Generation of Priority Waste Streams,0.0,1.0,0.0,4
Minimization of Waste Production through Sustainable Materials,1.0,1.0,0.0,4
Material Solid Waste Landfilled,0.0,1.0,0.0,4
Household Waste Ending in Landfills,0.0,1.0,0.0,4
Landfill Diversion Rates,0.0,1.0,0.0,11
Material Solid Waste Incinerated,0.0,1.0,0.0,4
Landfilled Waste Reduction Initiatives,0.0,1.0,0.0,4
Waste Management Cost,1.0,1.0,0.0,4
Recycled Water Volumes,1.0,1.0,0.0,3
Optimal Reuse of Water,1.0,1.0,0.0,3
Waste Reduction and Recycling Rates,1.0,1.0,0.0,11
Waste Disposal into Fresh and Saltwater Bodies,0.0,1.0,0.0,4
Recovery and Reuse of Water Resources,1.0,1.0,0.0,3
"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",0.0,1.0,0.0,4
Reuse of Waste and Reduction of Resource Depletion,1.0,1.0,0.0,4
Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,1.0,1.0,0.0,4
Percentage of Food Waste Treated,0.0,1.0,0.0,11
Flood Remediation Costs,0.0,1.0,0.0,3
Chemical Remediation Costs,0.0,1.0,0.0,11
Overall Recycling Rate,1.0,1.0,0.0,11
Rate of Waste Materials Reused,1.0,1.0,0.0,11
Local Wind Resource Potential,1.0,1.0,0.0,12
Local Solar Resource Potential,1.0,1.0,0.0,12
Local Green Resource Roofs,1.0,1.0,1.0,5
Import/Export Balances resources,1.0,1.0,0.0,7
Waste Reduction and Circular Processes,1.0,1.0,0.0,4
Managing and Reducing Noise Pollution,0.0,1.0,0.0,1
Pollution Reduction,0.0,1.0,0.0,1
Mitigation of Environmental Impacts,1.0,1.0,1.0,1
Reduction of Waste Production through Sustainable Materials,1.0,1.0,0.0,4
Amount of Waste Produced in the City,0.0,1.0,0.0,4
Recycling Materials and Rates,1.0,1.0,0.0,11
Zero Material Waste Targets,1.0,1.0,0.0,4
Amount or Percentage of Recycled Material,1.0,1.0,0.0,11
Products Reused and Recovered,1.0,1.0,0.0,11
Recycling of Non-Ferrous Metals,1.0,1.0,0.0,11
Recycling Initiatives,1.0,1.0,1.0,11
Lifecycle Management of Buildings and Materials,1.0,1.0,1.0,9
Sustainable and Efficient Production and Consumption Patterns,1.0,1.0,0.0,7
Use of Non-Virgin and Low-Carbon Footprint Materials,1.0,1.0,0.0,6
Economic Value of Resource Use,1.0,1.0,0.0,7
Reuse of Building Materials in New Constructions,1.0,1.0,0.0,6
"Efficient Use of Resources, Materials, and Construction Techniques",1.0,1.0,0.0,6
Techniques to Maximize the Effective Lifecycle of Buildings,1.0,1.0,0.0,9
Measures to Improve Sustainability,1.0,1.0,0.0,1
Green and Blue Infrastructure,1.0,1.0,0.0,5
Use of New or Traditional Materials,1.0,1.0,0.0,6
Eco-Design Practices,1.0,1.0,0.0,1
Sharing and Collaborative Consumption Strategies,1.0,1.0,1.0,7
Resource Consumption,1.0,1.0,0.0,7
"Flow of Materials, Energy, and Resources",1.0,1.0,0.0,12
Amount of Raw Materials Used,1.0,1.0,0.0,6
