Indicator,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
Flow of Waste and Waste Generation Rates,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0
Generation of Priority Waste Streams,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0
Minimization of Waste Production through Sustainable Materials,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1
Material Solid Waste Landfilled,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0
Household Waste Ending in Landfills,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Landfill Diversion Rates,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
Material Solid Waste Incinerated,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
Landfilled Waste Reduction Initiatives,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
Waste Management Cost,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0
Recycled Water Volumes,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0
Optimal Reuse of Water,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1
Waste Reduction and Recycling Rates,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0
Waste Disposal into Fresh and Saltwater Bodies,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0
Recovery and Reuse of Water Resources,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
Reuse of Waste and Reduction of Resource Depletion,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1
Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1
Percentage of Food Waste Treated,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0
Flood Remediation Costs,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Chemical Remediation Costs,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0
Overall Recycling Rate,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
Rate of Waste Materials Reused,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0
Local Wind Resource Potential,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
Local Solar Resource Potential,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0
Local Green Resource Roofs,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1
Import/Export Balances resources,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
Waste Reduction and Circular Processes,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1
Managing and Reducing Noise Pollution,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1
Pollution Reduction,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
Mitigation of Environmental Impacts,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1
Reduction of Waste Production through Sustainable Materials,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
Amount of Waste Produced in the City,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0
Recycling Materials and Rates,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Zero Material Waste Targets,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Amount or Percentage of Recycled Material,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0
