Indicator,Assigned_SDG_Class,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage,11.5.1 Number of deaths missing persons and directly affected persons attributed to disasters per 100 000 population. 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities","11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Flow of Waste and Waste Generation Rates,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.015378490628467955,0.020470867058341197,-0.010548374150127979,0.013728635944450273,-0.024533323950778837,-0.012107714320207045,-0.01034779216669469,-0.008590836999553259,0.37223735282359016,0.19683304032830323,-0.004855931242564504,0.006323149049787892,0.021887915001593875,0.01680712437302963,0.013585035062797575,0.005797781901851847
Generation of Priority Waste Streams,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.025077710060211488,-0.0033338762663384504,0.0039178676469691824,-0.007069473769907043,-0.015040767393020323,-0.03146077121105981,-0.04751589264856128,-0.03414250187542438,0.2498508388491446,0.12476751089765503,0.009937976891520251,0.010612702001326753,0.08987696234730687,0.012909597196810837,0.010811556725372084,-0.0013284551862979257
Minimization of Waste Production through Sustainable Materials,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.0005373803477071274,0.10536214826624199,0.34516465168132404,0.314372036003737,0.019513983311190638,-0.009860576986324535,-0.004997531343998955,-0.010151827701202813,0.2064968233910863,0.09160940523946516,0.001290872113341805,0.009069777308410108,-0.01433796402993803,0.013712831000419486,0.0141132757237579,0.40088006329694265
Material Solid Waste Landfilled,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.01724889824682491,-0.020756633098935804,-0.02352786680323129,-0.013469890882091932,0.01398146148822492,0.0021234733325090354,0.001076005911613319,-0.0012380638191431142,0.5941073296614457,0.11891604435144731,0.004794926391828789,0.01640861183884908,0.009245216508192754,0.03757784494549417,0.03832488817679887,0.0012633633696623322
Household Waste Ending in Landfills,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.003969474354114251,-0.0030560788887754133,-0.014348397957374212,-0.042049286246443135,-0.028194082452716082,0.01491902922812749,0.012689383055895948,0.01890708952538954,0.12334557372194549,0.10038988079928433,-0.04119135143781443,-0.04000692385308814,0.031701544957710485,0.0134444122052314,0.006427433713681873,-0.014647462033202283
Landfill Diversion Rates,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,0.0036595764151643724,0.08111592539354891,-0.006494060464861133,0.002857188627593169,-0.03383779653286551,0.010751373863908061,-4.6438813528477336e-05,0.0042707172870962325,3.844859350543721e-05,0.02721247661922088,0.029074742484864562,0.0277865954613987,0.029152988655499434,0.014907398716972482,0.008220923360593603,-0.008371147347935398
Material Solid Waste Incinerated,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.02187962081357098,-0.020759134213785703,-0.010481651742085587,-0.0003042931212299256,0.02690174337565668,0.01332730278940146,0.01189125312562098,0.007013276875377963,0.5917683811360358,0.12806657356372558,0.005669867640780477,0.012947785009760649,0.0024249000685074265,0.0035357387898293465,0.004269601151792328,-0.013017756226324752
Landfilled Waste Reduction Initiatives,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.0025151881857512913,-0.007857461995149825,-0.029483952178257496,-0.01699748815955521,-0.014336798033569345,-0.02284553546584811,-0.01737023269121999,-0.020899709663440024,0.3990013535324467,0.1172131232643482,-0.005901986990063676,0.006213660562743557,0.01033780496060455,0.23771351358908915,0.21942630637234453,0.016787766325780912
Waste Management Cost,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.017553970717662553,0.04272159068921287,0.2481819496346234,0.41804583352287605,0.009714935346393444,-0.022573891352351178,-0.012400202281191602,0.004947727387427341,0.4227278357171997,0.3526326196000108,-0.03642745554157005,-0.03655227366984705,-0.0031120514405718175,0.14189401601730817,0.13051125765900137,0.0698507956514933
Recycled Water Volumes,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.03336924357103682,-0.0083284269297783,-0.045936669425813814,-0.061947838085622695,0.019003050208398493,0.020116373894820218,0.02697260968841591,0.023512364265427636,-0.03690168848205657,-0.029003909431853315,0.008538389373897283,0.0186974516260865,-0.010986705856746218,-0.0073748347146723545,-0.008176082467563439,0.0022514748703677022
