Indicator,Economic,Environmental,Social
Flow of Waste and Waste Generation Rates,0,0,1
Generation of Priority Waste Streams,0,0,1
Minimization of Waste Production through Sustainable Materials,1,0,1
Material Solid Waste Landfilled,0,0,1
Household Waste Ending in Landfills,0,0,1
Landfill Diversion Rates,0,0,1
Material Solid Waste Incinerated,0,0,1
Landfilled Waste Reduction Initiatives,0,0,1
Waste Management Cost,0,0,1
Recycled Water Volumes,1,0,1
Optimal Reuse of Water,1,0,1
Waste Reduction and Recycling Rates,0,0,1
Waste Disposal into Fresh and Saltwater Bodies,0,0,1
Recovery and Reuse of Water Resources,1,0,1
"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",0,0,1
Reuse of Waste and Reduction of Resource Depletion,1,0,1
Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,1,0,1
Percentage of Food Waste Treated,0,0,1
Flood Remediation Costs,0,0,1
Chemical Remediation Costs,0,0,1
Overall Recycling Rate,0,0,1
Rate of Waste Materials Reused,1,0,1
Local Wind Resource Potential,1,0,1
Local Solar Resource Potential,1,0,1
Local Green Resource Roofs,1,1,1
Import/Export Balances resources,1,0,1
Waste Reduction and Circular Processes,0,0,1
Managing and Reducing Noise Pollution,0,0,1
Pollution Reduction,0,0,1
Mitigation of Environmental Impacts,0,1,1
Reduction of Waste Production through Sustainable Materials,1,0,1
Amount of Waste Produced in the City,0,0,1
Recycling Materials and Rates,1,0,1
Zero Material Waste Targets,1,0,1
Amount or Percentage of Recycled Material,1,0,1
Products Reused and Recovered,1,0,1
Recycling of Non-Ferrous Metals,1,0,1
Recycling Initiatives,1,1,1
Lifecycle Management of Buildings and Materials,1,1,1
Sustainable and Efficient Production and Consumption Patterns,1,0,1
Use of Non-Virgin and Low-Carbon Footprint Materials,1,0,1
Economic Value of Resource Use,1,1,1
Reuse of Building Materials in New Constructions,1,1,0
"Efficient Use of Resources, Materials, and Construction Techniques",1,0,0
Techniques to Maximize the Effective Lifecycle of Buildings,1,1,0
Measures to Improve Sustainability,1,1,0
Green and Blue Infrastructure,1,1,0
Use of New or Traditional Materials,1,1,0
Eco-Design Practices,1,0,0
Sharing and Collaborative Consumption Strategies,1,0,0
Resource Consumption,1,0,0
"Flow of Materials, Energy, and Resources",1,0,0
Amount of Raw Materials Used,1,0,0
Virgin Material Use,1,0,0
Fossil Fuel Consumption,1,0,0
Average Amount of Raw Material Retained in the Cycle per Citizen per Year,1,0,0
Reduction of Toxic Emissions,1,0,1
Energy Generated During Waste Treatment and Reused,1,0,1
"Resource Efficiency (Labor, Material Inputs, or Energy)",1,0,0
Reducing Non-Renewable Resources,1,0,0
Reuse of Waste and Reduction of Resource Depletion,1,0,1
Renewable-Energy Systems and Efficient Use of Energy,1,0,0
Control of Organic Matter from Waste,1,0,1
Material Consumption Reduction,1,0,0
Use of Local Materials and Secondary Raw Materials,1,0,0
Resource-Efficient and Circular Material Life Cycles,1,1,0
Increasing Durability of Products,1,1,0
Redesign for Reuse and Recycling of Products,1,0,1
Prolonging the Lifespan of Products,1,1,0
Lifetime Extension Practices,1,1,0
Focus on Locally Produced Food,1,0,1
Refurbishment and Recycling of Products,1,0,1
Remanufacturing Processes Involving Water Use,1,0,1
Community-Based Recycling Initiatives,0,1,1
local Recycling Rate,0,1,1
Thermal Hydrolysis,1,1,1
Increase Longevity of Products,1,1,0
Make Good Use of Material,1,0,0
Lifetime Extension,1,1,0
Greenhouse Gas and CO2 Emission Reduction,0,1,1
Air Quality Improvements,0,1,1
Pollution Reduction,0,1,1
Greenhouse Gas Emissions Along a Building's Lifecycle,1,1,1
Production of Thermal Energy from Waste Heat,1,0,1
Pollution of Resource and Material Reduction,1,0,1
Remanufacturing Practices,1,0,0
Extended Producer Responsibility (EPR) Initiatives,1,1,0
Material and Energy Conservation,1,0,1
Resource-Efficient and Circular Material Life Cycles,1,1,0
Remanufacturing Processes,1,0,1
Extended Producer Responsibility Initiatives,1,1,0
Renewable Energy Penetration,1,0,0
Access to Electricity,1,0,0
Circular Economy (CE) Innovation Budget,1,1,0
Renewable Energy Systems Penetration,1,0,0
Efficient Use of Energy,1,0,0
Grid Integration,1,0,0
Energy Consumption,1,0,0
Carbon Footprint and Greenhouse Gas Emissions,1,1,1
Carbon Storage and Sequestration in Vegetation and Soil,1,1,1
Flow of Emissions,1,0,1
Material Flow Analysis (MFA),1,0,0
Renewable Energy Usage,1,0,0
Resource Efficiency and Productivity,1,0,0
Total Raw Material Productivity,1,0,0
Water Reduction in Production Processes,1,0,1
Reduction in Potable Water Consumption,1,0,1
Efficient Use of Water Resources,1,0,1
Safe Water Accessibility,1,0,1
Water Quality and Availability,1,1,1
Grey-Water Reuse and Black-Water Recycling,1,0,1
Amount of Water Used in Houses,1,0,1
Amount of Water Used in Other Sectors,1,0,1
Integration of Water Resource Management with Human and Material Potential,1,0,1
Strategies to Enhance Material and Human Engagement in Water Conservation,1,1,1
Protecting the Natural Environment and Regenerating Natural Systems,0,1,1
Air Quality Assessment,0,1,1
Virgin Resources Used,1,1,1
Biogas Utilization and Impact,0,1,1
Ecological Restoration and Biodiversity Enhancement,0,1,1
Number of Projects Including Nature-Based Solutions,0,1,1
Amount of Financial Support to Implement Nature-Based Solutions,0,1,1
Habitat Restoration,0,1,1
Pollution Reduction Initiatives,0,1,1
Carbon Management Practices,1,1,1
Monetary Values of Each Vegetation Community Type,0,1,0
Distribution of Public Green Space,0,1,0
Amount of Pollutants Captured by Vegetation,0,1,0
Adaptation of Green and Blue Infrastructure,0,1,0
Restoration of Ecosystem Services,0,1,0
Increase in Resilience to Climate Change,0,1,0
Adaptation and Resilience to Urban Climate Change,0,1,0
Urban Heat Island Effect Mitigation,0,1,0
Cost of Grey Infrastructure,0,1,1
Eco-Innovation and Eco-Design,0,1,0
Life Cycle Assessment,1,1,0
Innovation in Environmental Technologies and Processes,0,1,1
Innovation in Sustainable Practices and Technologies,1,1,0
Developing New Methods for Enhancing Urban Resilience and Sustainability,0,1,0
E-Government Initiatives,1,1,1
Enforcement of Environmental Regulations,1,1,1
Transparent Governance,1,1,1
"Public Forums, Community Decision-Making Processes",1,1,1
"Specialized Supporting Services (Financial, Knowledge, IT, R&D, etc.)",1,1,1
Public Utilities and Transport Services Management,1,1,1
Grants from Local and National Governments for Symbiosis Activities,0,1,1
Cost of Materials Used in Buildings,1,1,1
Waste Collection Costs,0,1,1
Demolition and Construction Management Costs,1,1,1
Impact of Urban Symbiosis Projects,1,1,1
"nergy Recovered from Urban Water, Sewage, and Waste",1,1,1
"ircular Economy Policies at City, Regional, and National Levels",1,1,1
Incentives to Enhance Circular Economy Transformation,1,1,1
R&D Expenditure,1,1,0
Patents Related to Circular Economy Technologies and Processes,1,1,1
Integration of IoT and AI in CE Initiatives,1,1,0
Digital Tools and GIS Applications Integration,1,1,0
Smart City and Technology Enhancements,1,1,1
Regenerative and Systems Thinking to Promote Long-Term Sustainability,1,1,1
Public Awareness Campaigns,1,1,1
