Indicator,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
Flow of Waste and Waste Generation Rates,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Food Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EEE (Electrical and Electronic Equipment),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C&D (Construction and Demolition) Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Minimization of Waste Production through Sustainable Materials,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Material Solid Waste Landfilled,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Household Waste Ending in Landfills,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Landfill Diversion Rates,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Material Solid Waste Incinerated,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Landfilled Waste (%) Reduction Initiatives,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Waste Management Cost,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Recycled Water Volumes,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Optimal Reuse of Water,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Waste Reduction and Recycling Rates,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Waste Disposal into Fresh and Saltwater Bodies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recovery and Reuse of Water Resources,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Reuse of Waste and Reduction of Resource Depletion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Percentage of Food Waste Treated,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Flood Remediation Costs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chemical Remediation Costs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Overall Recycling Rate,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Rate of Waste Materials Reused,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Wind Potential,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Solar Potential,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Green Roofs,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Import/Export Balances,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Implementation of circular economy principles in waste management.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Levels of noise pollution and measures taken to reduce it.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Emission levels of pollutants and reduction measures in place.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strategies and measures to mitigate the environmental impacts of waste production and management.,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Percentage reduction in waste production through the use of sustainable materials.,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Total waste produced in the city annually.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recycling Materials and Rates,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zero Material Waste Targets,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Amount or Percentage of Recycled Material,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Products Reused and Recovered,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Recycling of Non-Ferrous Metals,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Recycling Initiatives,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Lifecycle Management of Buildings and Materials,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
Sustainable and Efficient Production and Consumption Patterns,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
Use of Non-Virgin and Low-Carbon Footprint Materials,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Economic Value of Resource Use,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Reuse of Building Materials in New Constructions,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Efficient Use of Resources, Materials, and Construction Techniques",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Techniques to Maximize the Effective Lifecycle of Buildings,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Measures to Improve Sustainability,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Green and Blue Infrastructure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Use of New or Traditional Materials,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Eco-Design Practices,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Sharing and Collaborative Consumption Strategies,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Resource Consumption,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Flow of Materials, Energy, and Resources",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
