Category,Subcategory,Indicator,Description
Indicators for Waste Management and Reduction,Waste Stream Optimization,Flow of Waste and Waste Generation Rates,Monitoring the quantity and flow of waste generated over time.
Indicators for Waste Management and Reduction,Waste Stream Optimization,Generation of Priority Waste Streams,"Volume of food,textile,EEE,C&D  waste generated."
Indicators for Waste Management and Reduction,Waste Stream Optimization,Minimization of Waste Production through Sustainable Materials,Reduction in waste generation through the adoption of sustainable materials and practices.
Indicators for Waste Management and Reduction,Landfill and Incineration Management,Material Solid Waste Landfilled,Total volume of solid waste disposed of in landfills.
Indicators for Waste Management and Reduction,Landfill and Incineration Management,Household Waste Ending in Landfills,Volume of household waste that is landfilled.
Indicators for Waste Management and Reduction,Landfill and Incineration Management,Landfill Diversion Rates,"Percentage of waste diverted from landfills through recycling, composting, and other methods."
Indicators for Waste Management and Reduction,Landfill and Incineration Management,Material Solid Waste Incinerated,Total volume of solid waste incinerated.
Indicators for Waste Management and Reduction,Landfill and Incineration Management,Landfilled Waste Reduction Initiatives,Initiatives and measures aimed at reducing the percentage of waste that ends up in landfills.
Indicators for Waste Management and Reduction,Landfill and Incineration Management,Waste Management Cost,"Total cost associated with waste management activities, including collection, processing, disposal, and recycling."
Indicators for Recycling and Waste Management,Water Recycling and Reuse,Recycled Water Volumes,Total volume of water recycled annually.
Indicators for Recycling and Waste Management,Water Recycling and Reuse,Optimal Reuse of Water,"Percentage of recycled water utilized for various purposes (e.g., irrigation, industrial processes, potable water)."
Indicators for Recycling and Waste Management,Waste Reduction,Waste Reduction and Recycling Rates,Percentage reduction in waste generation and the rate of recycling.
Indicators for Recycling and Waste Management,Waste Reduction,Waste Disposal into Fresh and Saltwater Bodies,Volume of waste disposed of in freshwater and marine environments.
Indicators for Recycling and Waste Management,Waste Reduction,Recovery and Reuse of Water Resources,Volume of water resources recovered and reused.
Indicators for Recycling and Waste Management,Waste Reduction,"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",Percentage of waste repurposed for household and transportation needs.
Indicators for Recycling and Waste Management,Waste Reduction,Reuse of Waste and Reduction of Resource Depletion,"Volume of waste reused, contributing to the conservation of natural and non-renewable resources."
Indicators for Recycling and Waste Management,Waste Reduction,Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,Number and impact of retrofitting projects aimed at improving energy efficiency and reducing waste.
Indicators for Recycling and Waste Management,Waste Reduction,Percentage of Food Waste Treated,"Proportion of food waste treated through composting, anaerobic digestion, or other methods."
Indicators for Recycling and Waste Management,Environmental Remediation Costs,Flood Remediation Costs,Total costs associated with flood damage remediation.
Indicators for Recycling and Waste Management,Environmental Remediation Costs,Chemical Remediation Costs,Total costs associated with the remediation of chemical spills or contamination.
Indicators for Recycling and Waste Management,Recycling and Resource Recovery,Overall Recycling Rate,Percentage of total waste that is recycled.
Indicators for Recycling and Waste Management,Recycling and Resource Recovery,Rate of Waste Materials Reused,Percentage of waste materials that are reused.
Indicators for Recycling and Waste Management,Recycling and Resource Recovery,Local Wind Resource Potential,Capacity for wind energy production.
Indicators for Recycling and Waste Management,Recycling and Resource Recovery,Local Solar Resource Potential,Capacity for solar energy production.
Indicators for Recycling and Waste Management,Recycling and Resource Recovery,Local Green Resource Roofs,Area covered by green roofs and their environmental impact.
Indicators for Recycling and Waste Management,Recycling and Resource Recovery,Import/Export Balances resources,Balance of imported and exported resources and recyclables.
Indicators for Recycling and Waste Management,Optimizing Waste Management Processes,Waste Reduction and Circular Processes,Implementation of circular economy principles in waste management.
Indicators for Recycling and Waste Management,Optimizing Waste Management Processes,Managing and Reducing Noise Pollution,Levels of noise pollution and measures taken to reduce it.
Indicators for Recycling and Waste Management,Optimizing Waste Management Processes,Pollution Reduction,Emission levels of pollutants and reduction measures in place.
Indicators for Recycling and Waste Management,Optimizing Waste Management Processes,Mitigation of Environmental Impacts,Strategies and measures to mitigate the environmental impacts of waste production and management.
Indicators for Recycling and Waste Management,Optimizing Waste Management Processes,Reduction of Waste Production through Sustainable Materials,Percentage reduction in waste production through the use of sustainable materials.
Indicators for Recycling and Waste Management,Optimizing Waste Management Processes,Amount of Waste Produced in the City,Total waste produced in the city annually.
Indicators for Resource Management,Recycling Processes and Rates,Recycling Materials and Rates,"Percentage of different materials recycled (e.g., paper, plastic, glass, metals)."
Indicators for Resource Management,Recycling Processes and Rates,Zero Material Waste Targets,Progress towards achieving zero material waste.
Indicators for Resource Management,Recycling Processes and Rates,Amount or Percentage of Recycled Material,Total volume or percentage of materials recycled.
Indicators for Resource Management,Recycling Processes and Rates,Products Reused and Recovered,Volume or percentage of products reused and recovered through recycling processes.
Indicators for Resource Management,Specialized Recycling Practices,Recycling of Non-Ferrous Metals,Volume or percentage of non-ferrous metals recycled.
Indicators for Resource Management,Initiatives in recycling,Recycling Initiatives,Specific programs or policies implemented to enhance recycling practices.
Indicators for Resource Management,Building and Material Lifecycle Optimization,Lifecycle Management of Buildings and Materials,Practices and policies for managing the lifecycle of buildings and materials from construction to demolition.
Indicators for Resource Management,Comprehensive Resource Management,Sustainable and Efficient Production and Consumption Patterns,Measures to promote sustainable production and consumption.
Indicators for Resource Management,Comprehensive Resource Management,Use of Non-Virgin and Low-Carbon Footprint Materials,Volume or percentage of non-virgin and low-carbon footprint materials used.
Indicators for Resource Management,Comprehensive Resource Management,Economic Value of Resource Use,Economic impact and value derived from efficient resource use.
Indicators for Resource Efficiency and Material Cycles,Resource Management and Construction Practices,Reuse of Building Materials in New Constructions,Volume or percentage of reused materials in new construction projects.
Indicators for Resource Efficiency and Material Cycles,Resource Management and Construction Practices,"Efficient Use of Resources, Materials, and Construction Techniques",Adoption of efficient construction techniques and resource use.
Indicators for Resource Efficiency and Material Cycles,Resource Management and Construction Practices,Techniques to Maximize the Effective Lifecycle of Buildings,Implementation of methods to extend the lifecycle of buildings.
Indicators for Resource Efficiency and Material Cycles,Environmental Impact Mitigation,Measures to Improve Sustainability,"Strategies to enhance physical, mental, and emotional well-being through sustainable practices."
Indicators for Resource Efficiency and Material Cycles,Environmental Impact Mitigation,Green and Blue Infrastructure,Development and maintenance of green spaces (green infrastructure) and water-related structures (blue infrastructure) to support urban resilience.
Indicators for Resource Efficiency and Material Cycles,Environmental Impact Mitigation,Use of New or Traditional Materials,Incorporation of new or traditional renewable materials in construction and other sectors.
Indicators for Resource Efficiency and Material Cycles,Eco-Design and Sustainable Materials,Eco-Design Practices,Implementation of design principles that promote sustainability.
Indicators for Resource Efficiency and Material Cycles,Eco-Design and Sustainable Materials,Sharing and Collaborative Consumption Strategies,Promotion of sharing economy models and collaborative consumption.
Indicators for Resource Efficiency and Material Cycles,Material and Resource Consumption,Resource Consumption,Total volume of resources consumed annually.
Indicators for Resource Efficiency and Material Cycles,Material and Resource Consumption,"Flow of Materials, Energy, and Resources","Tracking the flow of materials, energy, and resources through the economy."
Indicators for Resource Efficiency and Material Cycles,Material and Resource Consumption,Amount of Raw Materials Used,Volume of raw materials used in the manufacturing process.
Indicators for Resource Efficiency and Material Cycles,Material and Resource Consumption,Virgin Material Use,Percentage of virgin materials used versus recycled materials.
Indicators for Resource Efficiency and Material Cycles,Sustainable Material Use,Fossil Fuel Consumption,Total volume of fossil fuels consumed and measures to reduce it.
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Average Amount of Raw Material Retained in the Cycle per Citizen per Year,Measurement of how much raw material remains in use annually per person.
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Reduction of Toxic Emissions,Measures and progress in reducing toxic emissions from various processes.
